raw_name,importance
Perovskite_composition_c_ions_Br; I,0.15877777
Backcontact_thickness_list_70,0.03519635
Perovskite_deposition_procedure_-1,0.033565473
Perovskite_composition_short_form_CsFAMAPbI,0.032019187
HTL_deposition_synthesis_atmosphere_pressure_total_-1,0.026935812
Perovskite_composition_a_ions_coefficients_0.2; 0.2; 0.6,0.0254948
HTL_deposition_procedure_Spin-coating | Evaporation,0.024784021
Perovskite_additives_compounds_CsI,0.022502229
Perovskite_deposition_quenching_media_additives_compounds_-1,0.021426959
Perovskite_composition_a_ions_coefficients_1,0.019477757
Perovskite_composition_a_ions_Cs; MA,0.019087577
HTL_deposition_procedure_Spin-coating,0.018831117
Perovskite_composition_c_ions_coefficients_0.256; 0.744,0.016002476
Perovskite_composition_leadfree,0.01230429
ETL_deposition_thermal_annealing_atmosphere_Air,0.011063052
Perovskite_composition_b_ions_coefficients_1,0.010882727
Perovskite_deposition_thermal_annealing_time_45,0.010784848
Perovskite_dimension_list_of_layers_-1,0.010579806
Perovskite_thickness_2000,0.010516814
Perovskite_composition_a_ions_BA; MA,0.010366062
Perovskite_deposition_thermal_annealing_temperature_100,0.010257115
Backcontact_stack_sequence_Au,0.009718267
Perovskite_deposition_quenching_media_-1,0.0091868015
Perovskite_deposition_aggregation_state_of_reactants_Liquid,0.0086988
Perovskite_composition_short_form_MAPbI,0.008089082
Backcontact_deposition_reaction_solutions_compounds_Au,0.0077651804
Backcontact_thickness_list_80,0.0076508005
Perovskite_deposition_quenching_induced_crystallisation,0.0073155463
Perovskite_composition_c_ions_coefficients_0.50; 2.50,0.0066194297
Perovskite_band_gap_estimation_basis_-1,0.006522232
Backcontact_thickness_list_120,0.006285225
Perovskite_composition_none_stoichiometry_components_in_excess_MAI,0.0062046326
Perovskite_additives_compounds_HI,0.0061570555
Perovskite_deposition_reaction_solutions_temperature_-1,0.0061273
HTL_stack_sequence_PEDOT:PSS,0.005929324
ETL_deposition_thermal_annealing_time_30.0 | 10.0; 30.0,0.005810574
Perovskite_deposition_thermal_annealing_time_120,0.0054396917
Perovskite_additives_compounds_Cl2,0.005099718
Perovskite_additives_concentrations_6 mg/ml; 5.2 mg/ml,0.0050636404
Perovskite_composition_a_ions_MA,0.004973427
Perovskite_deposition_thermal_annealing_time_30,0.004854974
Perovskite_composition_a_ions_Cs; FA; MA,0.0047673313
Perovskite_deposition_thermal_annealing_time_10,0.0043950733
Backcontact_deposition_reaction_solutions_temperature,0.0043435837
Perovskite_composition_c_ions_I,0.0041435906
ETL_storage_time_until_next_deposition_step,0.004125249
Perovskite_deposition_number_of_deposition_steps,0.0040624617
Perovskite_composition_c_ions_coefficients_0.095; 0.905,0.0037809305
Perovskite_deposition_procedure_Spin-coating,0.0037586465
Backcontact_stack_sequence_Ag,0.0037280289
Perovskite_deposition_thermal_annealing_time_60,0.0037119272
Perovskite_composition_a_ions_coefficients_0.6; 0.4,0.0036874076
Perovskite_deposition_thermal_annealing_time_15,0.0036342803
HTL_deposition_solvents_mixing_ratios_-1,0.0036201144
Perovskite_deposition_solvents_DMF; DMSO,0.0036182562
HTL_deposition_reaction_solutions_compounds_FK209; Li-TFSI; Spiro-MeOTAD; TBP,0.003618216
HTL_deposition_synthesis_atmosphere_pressure_total_1 atm,0.0035416726
"Perovskite_additives_compounds_Cl2,C6H9NO",0.003417174
Perovskite_composition_c_ions_coefficients_0.45; 2.55,0.0033779324
HTL_additives_compounds_Li-TFSI; TBP,0.0030528056
Perovskite_deposition_substrate_temperature_150,0.0030262119
"Perovskite_additives_compounds_ClH4N,CH4N2S",0.0030258717
Perovskite_deposition_substrate_temperature_-1,0.0030207192
Perovskite_additives_compounds_Undoped,0.0030027633
Perovskite_dimension_2D,0.0028499938
Perovskite_additives_concentrations_0.0008,0.0028398607
Perovskite_deposition_synthesis_atmosphere_Dry air >> Dry air,0.002797569
Perovskite_composition_a_ions_(PBA); BA; MA,0.0027629617
Perovskite_composition_a_ions_coefficients_0.05; 0.81; 0.14,0.002759915
Perovskite_deposition_thermal_annealing_temperature_90,0.002746694
Perovskite_composition_none_stoichiometry_components_in_excess_PbI2,0.0027292469
Perovskite_deposition_solvents_mixing_ratios_4; 1,0.002714115
Perovskite_composition_a_ions_coefficients_0.4; 0.6,0.002700908
Perovskite_composition_a_ions_coefficients_0.25; 0.75,0.0026893027
HTL_stack_sequence_CZTS,0.0025178406
Perovskite_deposition_synthesis_atmosphere_N2,0.0025001625
HTL_stack_sequence_none,0.0024777604
HTL_stack_sequence_BTPA-3,0.0024770834
Perovskite_composition_b_ions_Pb,0.002316889
Perovskite_deposition_synthesis_atmosphere_N2 >> N2,0.0022523855
Perovskite_pl_max,0.002228628
Perovskite_deposition_procedure_Spin-coating >> Spin-coating,0.0022188453
HTL_stack_sequence_MoO3,0.0021549838
Perovskite_composition_perovskite_inspired_structure,0.002125622
Perovskite_band_gap_estimation_basis_Absorption,0.002119538
Perovskite_composition_c_ions_coefficients_0.1; 2.9,0.0020629428
Perovskite_deposition_reaction_solutions_compounds_-1,0.0020160666
Perovskite_band_gap,0.002011169
Perovskite_deposition_quenching_media_Chlorobenzene,0.0019895048
Perovskite_additives_compounds_ClH4N,0.0019500508
Perovskite_composition_none_stoichiometry_components_in_excess_PbI2; PbBr2,0.0019017535
Perovskite_deposition_synthesis_atmosphere_-1,0.001898808
Perovskite_deposition_procedure_Doctor blading,0.0018598156
HTL_stack_sequence_MTA,0.0018403243
Perovskite_deposition_synthesis_atmosphere_Air,0.0018268751
Backcontact_stack_sequence_Al,0.0018101018
HTL_additives_concentrations_-1,0.0018023355
Perovskite_additives_concentrations_-1,0.0017813714
Perovskite_composition_a_ions_coefficients_0.83; 0.17,0.0017625381
Perovskite_deposition_thermal_annealing_time_600,0.0017364105
Perovskite_composition_short_form_CsFAMAPbBrI,0.0017278505
Perovskite_composition_b_ions_Pb; Sb,0.0017095023
HTL_deposition_synthesis_atmosphere_-1,0.0017087186
HTL_stack_sequence_PTAA,0.0017076876
Perovskite_composition_inorganic,0.0017064206
HTL_deposition_procedure_Evaporation,0.0016727882
Perovskite_deposition_solvents_mixing_ratios_-1,0.0016674587
Perovskite_deposition_solvents_DMF >> Methanol,0.001595745
